Designator,Footprint,Quantity,Value,LCSC Part #
"_9, _8, _7, _6, _5, _4, _3, _2, ",,9,,
"C1, C2, C3, C4, C5, C6, C7, C8",1206,8,C_Generic,
"C10, C16",1206,2,10uF,
C11,CP_Radial_D4.0mm_P1.50mm,1,100uF,
"C12, C13, C14, C15",1206,4,100nF_0603_16V,
C9,1206,1,100nF,
D1,1206,1,LED,
D2,D_SOD-123,1,BAT43,
J1,Jack_3.5mm_CUI_SJ1-3525N_Horizontal_edit,1,MIDI OUT,
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Jack-DC,
"R1, R2, R3, R4",R_0603,4,10k,
"R5, R6",R_0603,2,220R,
"R7, R8",R_0603,2,10k_0402,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",Potentiometer_RV09_BigPads,8,B100k,
SSD1306,SSD1306_OLED_Module,1,~,
SW1,SW_Cherry_MX_1.00u_PCB,1,ASSIGN,
SW2,SW_Cherry_MX_1.00u_PCB,1,ENTER,
SW3,SW_Cherry_MX_1.00u_PCB,1,PREV,
SW4,SW_Cherry_MX_1.00u_PCB,1,NEXT,
U1,Z_module_black_pill_STM32F411,1,~,
U3,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC4067M,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q64,
