Designator,Mid X,Mid Y,Rotation,Layer
_9,167.25,-120.5,0.0,top
_8,167.27,-212.5,180.0,top
_7,24.25,-108.5,0.0,top
_6,24.25,-120.5,0.0,top
_5,167.25,-200.5,0.0,top
_4,167.27,-292.5,180.0,top
_3,24.27,-212.5,180.0,top
_2,24.25,-200.5,0.0,top
,24.27,-292.5,180.0,top
C1,36.8125,-61.5,0.0,top
C10,57.472599,-34.75,0.0,top
C11,56.75,-28.25,0.0,top
C12,37.615,-53.115,0.0,top
C13,80.75,-30.75,90.0,top
C14,134.75,-33.5,0.0,top
C15,68.5,-68.9375,90.0,top
C16,71.0,-68.9375,270.0,top
C2,59.75,-61.5,0.0,top
C3,82.9375,-61.5,0.0,top
C4,106.0,-61.75,0.0,top
C5,37.25,-85.5,0.0,top
C6,59.75,-85.75,0.0,top
C7,82.75,-85.5,0.0,top
C8,105.6875,-85.5,0.0,top
C9,57.472599,-32.0,0.0,top
D1,43.0,-53.75,180.0,top
D2,70.0,-64.5,0.0,top
J2,120.25,-33.35,180.0,top
R1,119.5,-67.75,180.0,top
R2,119.5,-66.0,180.0,top
R3,119.5,-69.5,180.0,top
R4,119.5,-71.25,180.0,top
R5,40.25,-38.0,180.0,top
R6,33.0,-38.0,180.0,top
R7,94.25,-29.5,90.0,top
R8,42.25,-51.0,0.0,top
U3,89.75,-37.25,0.0,top
U4,37.115,-47.865,180.0,top
